company_id,year,gross_margin,net_margin,revenue_growth,cost_growth,label
A,2021,0.539167589808514,0.1914859946194018,0.18355497284135605,0.10661028266191853,At-Risk
A,2022,0.5435163551401869,0.18311915887850466,0.08371577781294509,0.051890587288817375,At-Risk
A,2023,0.507097907214986,0.18147226693985072,-0.0021904205607476634,0.04837476099426386,At-Risk
A,2024,0.543010752688172,0.19800307219662058,-0.047270598565783695,-0.08407805945650192,At-Risk
A21,2021,0.21330992737937193,-0.011901430036163963,-0.5573333756317936,-0.47722532627691366,At-Risk
AA,2021,0.2467906517445688,0.03530283080974325,0.3086366573336205,0.13777526821005082,At-Risk
AA,2022,0.1798249136615533,-0.0098787246004337,0.024605003291639237,0.09826302729528535,At-Risk
AA,2023,0.06994597668467444,-0.06170031276656241,-0.15259818488474822,-0.032083145051965654,Distressed
AA,2024,0.15561160151324085,0.005044136191677175,0.12738129087290304,0.02875816993464052,At-Risk
AACG,2022,0.495622217907067,-0.23156709286922625,-0.019320224292996232,-0.05971812598116811,Distressed
AAGH,2022,-0.5044542404467389,-24.696043881430608,-0.4651839056375242,1.8793949013163034,Distressed
AAGH,2023,0.8251659259549308,-3.7268242065900505,0.9523354483602171,-0.47722532627691366,Distressed
AAGH,2024,0.5760681440255201,-4.142162418977161,0.44228321945298277,0.545830989795567,Distressed
AAL,2021,0.06846931262967673,-0.06669566963389331,0.7235969314183538,0.2589883997406153,Distressed
AAL,2022,0.22490861938698414,0.002593371587265933,0.6388126631416906,0.3553094686239162,Distressed
AAL,2023,0.26040009092975674,0.015571720845646737,0.07794408935900839,0.05046026518030572,Distressed
AAL,2024,0.24701628820719043,0.015605688882330155,0.026956884140334925,0.03704224785946859,Distressed
AAN,2021,0.6282776954154529,0.059568551463448464,0.0637407279532935,0.03604745546241763,At-Risk
AAN,2022,0.5164734773280746,-0.0023472571322385987,0.21887245977250658,0.2952076127672399,At-Risk
AAN,2023,0.5230731486197888,0.0013192266892223432,-0.0486984725935502,-0.0317919986545294,At-Risk
AAOI,2021,0.17826672653794343,-0.2560064282844516,-0.0982768100314121,-0.053389307321891594,Distressed
AAOI,2022,0.1509168918130492,-0.29798759525711566,0.05318932715713847,0.05025509538592261,Distressed
AAOI,2023,0.27071942512152763,-0.2575190906334139,-0.023211769246649732,-0.0809783688647912,Distressed
AAOI,2024,0.24782948689671766,-0.7488340384576825,0.14573665493507806,0.23659916214598736,Distressed
AAON,2021,0.2578589642611928,0.10992728014263345,0.03880276201970261,0.10995412614237356,At-Risk
AAON,2022,0.26729883841816043,0.11293581821536744,0.6627871517650514,0.6377897417711725,Healthy
AAP,2021,0.4477136683806467,0.054247644728504456,0.08822874317963975,0.08755598031468038,At-Risk
AAP,2022,0.46266567885840376,0.05076056354038759,-0.16813210124141786,-0.15245924967353353,At-Risk
AAPL,2021,0.4177935962516778,0.2588179335569424,0.33259384733074693,0.23359602741239127,At-Risk
AAPL,2022,0.43309630561360085,0.2530964070519973,0.07793787604184606,0.07016444243736082,At-Risk
AAPL,2023,0.4413112957720756,0.2530623426432028,-0.028004605303199367,-0.02148851726684395,At-Risk
AAPL,2024,0.4620634981523393,0.23971255769943867,0.020219940775141214,-0.004331112631234571,At-Risk
AAWH,2021,0.40908475514545056,-0.3690253052972342,1.3125052180446943,1.5726533465798285,Distressed
AAWH,2022,0.3314963811137991,-0.19929494538413406,0.22126716027691112,0.18269376546476537,Distressed
AAWH,2023,0.29911876434177287,-0.09297132609575966,0.27754812453501376,0.2630462544624285,Distressed
AAWH,2024,0.3280098433223706,-0.15134286207774586,0.08293449545884032,0.06636423347740081,Distressed
AAWW,2021,0.4487722004580199,0.1223859905741474,0.2552735559848975,0.2354927483446181,At-Risk
AAWW,2022,0.3632297700821964,0.07823079006327399,0.12857776898995218,0.24166489272761094,At-Risk
ABBV,2021,0.6895563820132747,0.2053846290727263,0.22690158064797833,0.12351429003477998,Distressed
ABBV,2022,0.7000378957522306,0.20387914700106796,0.033044468565937686,0.05628684486796415,Distressed
ABBV,2023,0.6241577377664862,0.0895283331492323,-0.06435387742446688,0.039322120285423035,Distressed
ABBV,2024,0.6999325451769801,0.0759399297049739,0.03711476858499945,0.08966971532256088,Distressed
ABCL,2022,0.8631382049507235,0.32655781337552325,0.29376364261479787,0.5745242695708179,Healthy
ABG,2021,0.19335820364516096,0.05411834066905882,0.3794133318376847,0.342520035618878,At-Risk
ABG,2022,0.20089543148523703,0.06461749784565146,0.5688524756802911,0.5654937596037984,Healthy
ABM,2021,0.1557974504704107,0.02026137494782134,0.040249849689358005,0.05443403659283901,At-Risk
ABM,2022,0.13438628852509416,0.029513488586580587,0.2533474617088912,0.23836012221041444,At-Risk
ABMC,2021,0.24706943192064923,-0.20874661857529306,-0.4651555341210514,-0.2875419463087248,Distressed
ABMC,2022,-0.11281489594742607,-1.5443592552026286,-0.5883678990081154,-0.36561672063585515,Distressed
ABMD,2021,0.8176327086037065,0.1323039525933048,0.21737606811386606,0.25419238953662426,Healthy
ABNB,2021,0.8070761014686249,-0.05874499332443257,0.7738306690349319,-0.2005280915358662,Distressed
ABNB,2022,0.8215263721871652,0.2253839742826527,0.4017022696929239,0.19412844036697247,Distressed
ABNB,2023,0.8282746798426943,0.483210648381567,0.18073580188117633,0.2905654578979717,Distressed
ABNB,2024,0.8308412898576834,0.23851558277787785,0.11949178178884744,0.017859268960590546,At-Risk
ABR,2023,0.3336377611897498,0.23155260700379401,0.3760198326406492,0.49037571304841265,Distressed
ABR,2024,0.3001953559647655,0.18637057632122322,-0.11478696491868971,-0.06525089884056665,Distressed
ABT,2021,0.5696575739988392,0.16415554265815438,0.2446544151641239,0.18457488632867253,At-Risk
ABT,2022,0.5614963461846838,0.15882069960827436,0.013418456181079513,0.018499278499278498,At-Risk
ABT,2023,0.5518462190530804,0.14268618015906653,-0.08118571461297047,-0.047037488311467514,At-Risk
ABT,2024,0.554088200238379,0.3194755661501788,0.04589992271061358,0.04442329993161072,At-Risk
ABTL,2021,0.2840120136900189,-0.07905287420548998,-0.06510382656392844,-0.04926060369819962,Distressed
ABVC,2023,-0.5044542404467389,-24.696043881430608,-0.6509892588799009,-0.47722532627691366,Distressed
ABVC,2024,0.9650998495600192,-9.621239861927945,2.343101751623696,-0.28326037654259967,Distressed
AC,2022,-0.24001838718150775,-3.2116495928552666,-0.2722232842668706,-0.33775,Healthy
AC,2023,-0.35977292438697467,0.5635498732008526,-0.1671263462043604,0.11853529633824085,Healthy
AC,2024,-0.3884629981024668,0.5635498732008526,0.0387920838918237,0.07755653054336821,Healthy
ACA,2021,0.17476920054999018,0.03417796110783736,0.052076875387476754,0.08994202735408341,At-Risk
ACA,2022,0.18329766363474229,0.10959514892099162,0.10135533294048321,0.08159049832171443,At-Risk
ACA,2023,0.19229602669093115,0.06898045842540838,0.02902621722846442,-0.0018620195750775842,At-Risk
ACA,2024,0.20047472664306004,0.03646056266780809,0.11352311625287058,0.13474600593131159,At-Risk
ACAD,2021,0.9604643237046753,-0.3467349657643888,0.0959581668571946,-0.10126712624992963,Distressed
ACAD,2022,0.9650998495600192,-0.41755681653407056,0.06834729264992925,0.13175849088886987,Distressed
ACAD,2023,0.9426818843203196,-0.0843651961560328,0.4044621883669899,0.079620048297115,Distressed
ACAD,2024,0.9145528749829035,0.23642901366364688,0.31848598020199964,0.09214869419966593,Distressed
ACAN,2021,0.9650998495600192,-0.42537407242903924,3.028803682931092,-0.19067389255227205,Distressed
ACAN,2022,0.9650998495600192,-0.05917169059972628,0.4433055910351773,0.2322450003981337,Distressed
ACAN,2023,0.9650998495600192,-0.03712679257111512,-0.12829310828299154,-0.20635706141118618,Distressed
ACAN,2024,0.9650998495600192,-0.9839340764506084,-0.5005054462816394,0.04116813447872488,Distressed
ACC,2021,0.5674404637476934,0.037657747326267046,0.08250209055071078,0.0741697807430344,Distressed
ACCD,2021,0.45481435128588066,-0.3971472900222888,0.8198206130619049,1.215957814263016,Distressed
ACCD,2022,0.45226660645147077,-1.265758298406684,0.17134645717548166,0.09516337532889131,Distressed
ACCD,2023,0.4635860697285972,-0.24090496557983257,0.14085399100076554,0.0034044911196676733,Distressed
ACCO,2021,0.3036093418259023,0.050313533797462104,0.2235983566940551,0.20719368104967686,Distressed
ACCO,2022,0.28357979051139864,-0.006777572396796057,-0.03836468671307954,-0.019358676255880603,Distressed
ACCO,2023,0.32644041903099086,-0.011894369271060672,-0.058944341753953584,-0.07835676867934932,Distressed
ACCO,2024,0.3333333333333333,-0.060977073580602566,-0.09089917066783064,-0.08986478401340194,Distressed
ACEL,2021,0.32757956573164543,0.04295453833977354,1.3224351355452155,0.9485471995214512,At-Risk
ACEL,2022,0.3082047067582185,0.07640980535101675,0.3199778959503584,0.29962754791088236,At-Risk
ACEL,2023,0.3017933733189795,0.038962936381811655,0.20687112870013002,0.2234056103248875,At-Risk
ACEL,2024,0.30179321706748813,0.028637531966608502,0.05173527451684011,0.06075282047399107,At-Risk
ACHC,2021,0.40674535105085824,0.08662699609487408,0.10740317015554117,0.1018353289957856,At-Risk
ACHC,2022,0.4103981805080373,0.10463496193493792,0.1278974107260907,0.1277864331129732,At-Risk
ACHC,2023,0.4110521323518867,-0.007398067017261359,0.12195032253689952,0.31138225345171333,Distressed
ACHC,2024,0.4129297014581338,0.08104470470959868,0.07690172354099274,-0.0634245867474476,At-Risk
ACI,2021,0.2882635246984851,0.022529803719726793,0.03151940582921033,0.019870301284507653,Healthy
ACI,2022,0.2801762273389337,0.0194913824522181,0.08016331186445394,0.08673420177902284,Healthy
ACI,2023,0.27822236132548017,0.016355850813438554,0.02045081951379078,0.021655819769744643,Healthy
ACIW,2021,0.5338742651018022,0.0932374044030416,0.058931239676062064,0.009675724483245156,At-Risk
ACIW,2022,0.5104645119456277,0.09999078698165344,0.03743110671400367,0.049422719546205265,At-Risk
ACIW,2023,0.5048730568182522,0.08365052778540788,0.02157534174320153,0.011579832291517865,At-Risk
ACIW,2024,0.5033626295876278,0.12740358078339672,0.09755682823447125,0.043810477604163706,At-Risk
ACLS,2021,0.43241680605288424,0.14892184509108913,0.39587828725556307,0.2847024985654916,At-Risk
ACLS,2022,0.4367292102808919,0.19899934565075142,0.3888271631030089,0.32243138236937563,Healthy
ACLS,2023,0.43454737467760596,0.21781543316669674,0.2289200628697019,0.2221082278060644,Healthy
ACLS,2024,0.4466741660239816,0.19746430027557682,-0.09971572716884072,-0.06676387502905266,Healthy
ACN,2021,0.3238280337778256,0.1168892313951079,0.14001273579315776,0.13483224661525367,At-Risk
ACN,2022,0.31985975002072026,0.11165267633103418,0.21888332088710694,0.21707900799452645,At-Risk
ACN,2023,0.32336675596647696,0.10718093853162163,0.04087131107332082,0.038516116644676815,At-Risk
ACN,2024,0.32609352953344267,0.11194426556121763,0.012239863382286663,0.01149487146726019,At-Risk
ACOR,2021,0.6839956303119988,-0.8054016781461366,-0.156216700334059,-0.13963746122802922,Distressed
ACOR,2022,0.7441762393940927,-0.5559435251252467,-0.08138931285881414,-0.22177642099142317,Distressed
ACOR,2023,0.8700789744374453,-2.149515867146124,-0.007869034967865998,-0.12269461152414042,Distressed
ACRS,2021,0.30291377015234433,-13.439579943795296,0.04304227090404196,0.31170342357411684,Distressed
ACRS,2022,0.8647821995159989,-2.9210809357354126,3.400532465611596,0.5927091274516598,Distressed
ACRS,2023,0.8904604947358316,-2.831482607443438,0.05031594514654477,0.29564165491793293,Distressed
ACRS,2024,0.8508547008547008,-7.054754273504273,-0.4009408301065634,-0.47722532627691366,Distressed
ACRX,2021,-0.3317955997161107,-12.45528743789922,-0.47968980797636634,-0.16378102158304406,Distressed
ACTG,2021,0.5900144241143934,0.5635498732008526,1.956383050164529,0.49091277890466534,Distressed
ACTG,2022,0.3686912179389764,-2.1117640106039883,-0.32737060887934855,0.35118772278305355,Distressed
ACU,2021,0.35587470860653364,0.07499512363719478,0.11026941329868031,0.10962156617269231,At-Risk
ACU,2022,0.327686186036603,0.015646159630860745,0.06521476846202326,0.10850310917522489,At-Risk
ACU,2023,0.37707508046944543,0.09291421415268511,-0.012690142757957927,-0.04995882684794806,Healthy
ACVA,2021,0.4287583522814457,-0.2181204402471857,0.7202925747635068,0.7479237281328814,Distressed
ACVA,2022,0.43858429669133087,-0.24243409113014763,0.17602633671376958,0.21252182703795608,Distressed
ACVA,2023,0.4920267479022679,-0.15639169302252126,0.14163912803152334,0.08180763939682191,Distressed
ACVA,2024,0.5221876589092781,-0.12508710582651658,0.324004538332703,0.2633510301955997,Distressed
