epoch,train_loss,val_loss,val_f1_macro
1,0.6828113545135381,0.5535581707954407,0.6859439694192021
2,0.5088881805324793,0.4788244366645813,0.7378305098051272
3,0.47448119746662065,0.4560462534427643,0.7566638259269248
4,0.45629643085526256,0.4547721743583679,0.7579946656519064
5,0.4396891852443557,0.4371468126773834,0.7678464329396121
6,0.429174490594506,0.43690362572669983,0.776456551372457
7,0.4231646353748159,0.43371057510375977,0.7660960860670035
8,0.4208219240910564,0.4386252164840698,0.7687086443787821
9,0.4185448886268656,0.4346601366996765,0.7659297231604428
10,0.404866001992169,0.4277166426181793,0.7848243974907737
11,0.4015403626634599,0.44345033168792725,0.765837084518207
12,0.4096898753394031,0.4511937201023102,0.7471141003395516
13,0.405377032478725,0.40759360790252686,0.7927834806578445
14,0.3851986708978029,0.43316176533699036,0.7796826400063548
15,0.3706168934208964,0.4134169816970825,0.7779054378360118
16,0.3701317620098479,0.4336543679237366,0.7831720926242003
17,0.36380624083372265,0.4192159175872803,0.7851804991526631
18,0.3605659985035341,0.4155539274215698,0.7878577074854861
19,0.36481698659750134,0.43865877389907837,0.7860195983509578
20,0.3529959806730928,0.4148560166358948,0.7927105693135763
21,0.3326223766975212,0.4107078015804291,0.8061115772370716
22,0.32015949864175786,0.40857362747192383,0.8045322475633339
23,0.32183674963807374,0.42309045791625977,0.8043972027214753
24,0.32077836522540126,0.42026016116142273,0.8121918996703797
25,0.31582830836058706,0.4310658574104309,0.8092557957535127
26,0.3154094426463439,0.42382073402404785,0.8079436618679404
27,0.31447594481904184,0.40646564960479736,0.8027676251147526
28,0.30621038288754027,0.4187470078468323,0.7988860236962047
29,0.3092667261945821,0.4188380241394043,0.8098028003483738
30,0.3038557709530788,0.44061440229415894,0.7966201532758621
31,0.29927608493792407,0.4258803427219391,0.8089799310962924
32,0.2889046218709844,0.42383497953414917,0.8013582708050819
33,0.28342844302614006,0.41397199034690857,0.8136703713743563
34,0.2749320543729342,0.4234568476676941,0.8056604785099409
35,0.276593541431755,0.41885313391685486,0.8137351206839584
36,0.27186263207721295,0.42604926228523254,0.8058553986879881
37,0.2709710675899203,0.4302697479724884,0.8118187534838057
38,0.27914319083495315,0.4299900233745575,0.8176919519671834
39,0.27509839464680264,0.4303174912929535,0.8058734250525358
40,0.27261827866534577,0.4343383014202118,0.8145016914762563
41,0.2691723514602213,0.4390817880630493,0.8122235116348593
42,0.26397947427479457,0.4328797459602356,0.8188484720055164
43,0.2705725019726625,0.4249931871891022,0.804778847120199
44,0.2621215947387068,0.4435674548149109,0.8172662754280774
45,0.2649924342635276,0.4429125189781189,0.8154901809990477
46,0.2619677769384808,0.43180108070373535,0.8085798340396692
47,0.2637434410836415,0.4418850541114807,0.8154561484356275
48,0.258808359121665,0.4419150948524475,0.8080663694578751
49,0.2583366044243102,0.4485322833061218,0.8196619626559256
50,0.25952589765349504,0.44374996423721313,0.8172525774836386
51,0.2529330194984249,0.45319119095802307,0.8237487013495647
52,0.24767739764223104,0.43184155225753784,0.8128117163127931
53,0.25137692129820716,0.4337384104728699,0.8162685280156419
54,0.24947601222224053,0.4482080340385437,0.8199930916971957
55,0.2514054297357145,0.4270939826965332,0.8190575462271757
56,0.24764503581476183,0.4308306574821472,0.8213528648242532
57,0.25438361437414647,0.4404837191104889,0.8171768669896738
58,0.2516703818871723,0.4482075870037079,0.8156825718260294
59,0.2385247314513065,0.43883612751960754,0.821434968892571
60,0.2352171734282939,0.43807870149612427,0.8290727392344364
61,0.24581875979639425,0.4461405575275421,0.8187728129293003
62,0.23034759373721517,0.4455437660217285,0.8163007299943968
63,0.2388666025581324,0.44428709149360657,0.8158018604346675
64,0.2376463763075668,0.44506335258483887,0.8110153735153736
65,0.2282389561931665,0.44166135787963867,0.8219040884684391
66,0.23177536994013806,0.45922696590423584,0.8157967415083823
67,0.23636388353737836,0.4551556408405304,0.8111788846939759
68,0.2323686972195242,0.44749927520751953,0.8212428288290005
69,0.22499250827020523,0.45516839623451233,0.8159951588142201
70,0.22589330284799763,0.44995594024658203,0.8191291274060172
71,0.23219791548635305,0.469128280878067,0.8157290103573126
72,0.23085774543734175,0.45246726274490356,0.8221683435642246
73,0.23297323058216626,0.46538296341896057,0.8189824420993482
74,0.2316267045215937,0.4479500353336334,0.8227434358287716
75,0.2262893778838688,0.44992029666900635,0.8236836956041191
76,0.22588104217443114,0.45567867159843445,0.8156682765935463
77,0.2283923575064031,0.44364604353904724,0.8208679959036411
78,0.2211334624649809,0.4471047520637512,0.8238575418369134
79,0.22442364236986437,0.4454215466976166,0.8252091901547095
80,0.22219793168621707,0.453656941652298,0.822473134975847
