gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.5902658,0.12125925,0.34387627,0.42910314,1.4475209,0.9693928,0.4108057,0.1794601,0.15759894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9176976,-0.22400059,0.026219627,0.46603814,2.786286,0.20499691,0.9223597,-0.0046620904,0.58168733,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.12631603,0.030466918,0.62191546,0.61060053,1.5418195,1.5563254,0.085621744,0.040694278,2.9343843,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.118559666,-0.18480678,0.124072306,-0.005212275,2.4675748,1.1518607,0.25849196,-0.13993229,0.915637,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.66356665,0.1349755,0.24444792,0.272871,0.7926322,2.5634108,0.47316828,0.1903984,0.20992507,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.6903272,0.08902791,0.051885597,0.023590686,0.87784433,1.8160483,0.4942252,0.19610202,0.21184626,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.66963094,0.121656574,0.12379784,0.110339135,0.8452706,1.8151088,0.49076772,0.17886326,0.42182997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.493504,0.06364165,0.13690476,0.063737154,2.6162615,0.20250835,0.4126042,0.080899745,0.37247565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.21656875,0.004420724,0.18897356,0.19842146,2.3737996,1.2483494,0.23643605,-0.019867301,1.1578947,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.52410513,-0.08395131,0.08662589,0.09302812,1.9286503,0.30215624,0.5817139,-0.05760881,0.57208216,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.17765771,0.026568605,0.15886572,0.15745816,0.6691618,5.06585,0.13945012,0.038207594,3.0417793,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.94473684,-1.9370337,-0.33854118,0.41949734,1.7857933,2.5881436,0.965615,-0.020878106,0.5079173,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.92399764,0.17058448,2.4826381,0.59590137,1.5253975,1.1518607,0.6357192,0.2882785,0.57607204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.101564854,-0.023764834,-0.007924154,-0.053533077,1.5017942,1.9399396,0.052213445,0.04935141,0.7655261,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.35208353,0.097168654,0.033138968,0.031961054,1.7792208,1.6367188,0.26930675,0.082776785,2.6249382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.292914,0.04409197,0.08281612,0.08187248,2.11332,1.1515274,0.22460245,0.06831154,3.203573,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5232178,-24.696043,1.8262477,-0.0055143293,11.987079,0.1506406,20.766369,-21.018425,0.022273518,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.6373716,0.14751288,0.8837426,0.4904744,14.296485,0.07227228,0.48727193,0.15009964,0.3226262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.42652068,0.4457421,-0.029286727,-0.00041322314,2.0589442,5.028173,0.6036496,-0.17712896,0.18648759,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.44679072,0.07980782,0.30874908,0.37686858,5.0413632,1.4210813,0.33448577,0.11230497,1.0310376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.44527137,-0.13246858,0.05693561,0.05010092,1.5373968,1.4542975,0.57765216,-0.13238081,1.3471743,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.6851138,-0.42344463,0.23695755,0.047479827,2.4923933,0.6220937,1.1129233,-0.42780945,1.3195534,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.79924315,0.23156977,0.16011707,0.10740352,18.977375,0.069705255,0.522632,0.27661115,0.2861526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.27359983,0.0062571988,-0.27502683,-0.2661707,1.6443857,1.7363197,0.2539443,0.019655505,1.7832798,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.628208,0.15246654,1.82364,0.2869575,5.2398124,0.23928502,0.47585237,0.1523556,0.8387717,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5308007,0.023334714,0.12870891,0.12239339,1.0467492,1.4312627,0.4927687,0.038032,1.3978275,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.23248161,0.07972645,0.22317368,0.21029395,2.3808515,0.93637097,0.13785483,0.094626784,0.7267876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.26358235,0.08705078,-0.037247807,-0.18113814,2.479307,1.7956079,0.1258843,0.13769805,0.9237201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.22806524,0.09111361,0.089794666,0.15747733,2.2809918,1.7403189,0.08998875,0.13807648,0.7389859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.1822118,-1.0618799,-0.18196577,-0.039760154,1.9201521,0.29012948,1.2446328,-1.4268447,0.29907197,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.5676229,0.12393892,0.28331083,0.22609958,1.3158345,0.6284223,0.4065704,0.16105251,0.5629036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.76641387,-0.13656831,0.14740518,0.07239246,2.6335099,1.0574609,0.90138483,-0.13497095,0.80787694,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.31970108,0.062477894,-0.11343494,-0.07270057,2.9128702,0.3903777,0.23421042,0.08549066,1.0345666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.24207042,0.06153082,-0.020127278,0.0590455,1.2281027,3.8999906,0.24833925,-0.0062688426,0.60301137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5213327,0.2719747,-0.14590366,-0.33326736,4.0372405,0.29404676,0.08943128,0.43190137,1.1625342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.31408486,0.15415029,0.1809196,0.114148356,4.1920238,0.26741502,0.11524615,0.1988387,1.6679593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.42138502,0.070837975,-0.083466604,-0.19044557,2.5241783,1.100955,0.21034276,0.21104226,1.1563436,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.8631382,0.32655782,0.29376364,0.5745243,4.7805986,0.24944112,0.4171137,0.4460245,0.31502485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.6765205,-0.011493546,-0.030599225,-0.009530631,0.35325176,1.1518607,0.48624706,0.19027346,0.28246152,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.6354982,-12.687278,0.76674,0.17623034,3.3233392,7.2972507,10.371531,-9.7360325,0.08061566,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.15261005,-0.12561429,-0.2885627,-0.23115724,1.0458826,1.1518607,0.22970036,-0.0770903,2.6991374,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.38062292,0.06523444,0.0045017162,-0.019414093,3.081355,1.0470386,0.24785726,0.13276567,0.4921359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.43606895,0.045924142,0.075029634,-0.034125794,7.2145243,0.17767636,0.4175977,0.018471226,0.3038391,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
