model,f1_macro_mean,f1_macro_std,auc_roc_macro_mean,auc_roc_macro_std,accuracy_mean,f1_at_risk_mean,f1_distressed_mean,f1_healthy_mean,recall_healthy_mean,precision_healthy_mean,train_seconds_mean,n_params_mean
LogisticRegression,0.7369662442301973,0.0,0.9071527465310784,0.0,0.7628716461203771,0.718296224588577,0.8543046357615894,0.6382978723404256,0.8461538461538461,0.5124223602484472,0.04619971998035908,72.0
XGBoost,0.8473226088375982,0.0010873786772755607,0.9627716532204502,6.545767358916533e-05,0.8581580855692531,0.8349112241302852,0.8970775092921052,0.8099790930904044,0.8984615384615384,0.7373682081616115,0.832316999998875,2156224.8
MLP,0.7894028570870637,0.014703927376345939,0.9412445888126619,0.00321200532568041,0.8105873821609861,0.7779092341712058,0.8774048481517566,0.7128944889382289,0.836923076923077,0.6217299643774077,9.115847459994256,40195.0
TabTransformer,0.7540182339309198,0.011207338394880634,0.9321536510159845,0.002119352265394048,0.7782451051486584,0.7367835086470766,0.8615451481168337,0.6637260450288494,0.8482051282051282,0.5455089836212241,248.0503667799756,65431.0
