epoch,train_loss,val_loss,val_f1_macro
1,0.8663322925940389,0.5742886662483215,0.7007073556888597
2,0.6306788456894742,0.5636083483695984,0.6636956050723131
3,0.5842211535753795,0.5518069863319397,0.7029683255347571
4,0.5561737280998326,0.49281108379364014,0.7332369597859169
5,0.5446983162055096,0.4956965446472168,0.7511529404032591
6,0.5297616565130591,0.5256811380386353,0.7473996726697386
7,0.5315380535921952,0.49831026792526245,0.7298458784353007
8,0.5055596371827236,0.5028178095817566,0.7641647421313307
9,0.5004590877411588,0.46901240944862366,0.7536764637308115
10,0.5115117056061135,0.4767071604728699,0.730105859138145
11,0.49928923995886987,0.45473018288612366,0.7710457710457709
12,0.482606838612798,0.4502226710319519,0.7543136574019802
13,0.47143825847629905,0.44021594524383545,0.7589909678599911
14,0.470121048423482,0.4392235577106476,0.785495696403815
15,0.4731035465892961,0.44230708479881287,0.7756272201445595
16,0.46094007015675587,0.43760594725608826,0.7729137228936778
17,0.4703961414162109,0.4421439468860626,0.7724751161926334
18,0.45855244626992936,0.43470317125320435,0.7573799114602301
19,0.4492382423776325,0.4525027871131897,0.7801682751535696
20,0.45239279628396406,0.44431421160697937,0.7673977136386178
21,0.449876283335641,0.41825973987579346,0.7761791278971876
22,0.43472420520675115,0.42038536071777344,0.7905430323653557
23,0.43377839411848257,0.42449331283569336,0.7916821317665156
24,0.42802023649066595,0.4245474338531494,0.7832672666463988
25,0.42529365597403446,0.4352213442325592,0.7764634554605662
26,0.42547765133752163,0.43103155493736267,0.7702925393992518
27,0.42784782493017554,0.4345409572124481,0.7797316763737007
28,0.41911764714105043,0.42028021812438965,0.7786763853287911
29,0.42024948704682563,0.425116628408432,0.7802052290915874
30,0.42380272579834266,0.4216148257255554,0.7715511376747282
31,0.3999168329719009,0.4156697392463684,0.7920010165069505
32,0.39334310292079344,0.4124566316604614,0.7942902853332271
33,0.3991883097960846,0.40794214606285095,0.7954534614188207
34,0.3999190652571744,0.41220176219940186,0.7958970609330563
35,0.39708643074405425,0.41498976945877075,0.7888515629924164
36,0.3880924027252376,0.41647693514823914,0.7840804494778895
37,0.386298274792605,0.4115126132965088,0.7894520236358047
38,0.39129443452684787,0.42253798246383667,0.7807785359030235
39,0.38953197418040525,0.40909016132354736,0.7942286668133015
40,0.3873113259589247,0.4099575877189636,0.807196577669912
41,0.383006538783408,0.4152654707431793,0.7918867081239278
42,0.3835625023003889,0.41172927618026733,0.7997514855706358
43,0.37304206901673154,0.4114969074726105,0.8004704972799804
44,0.3769217006596571,0.41457265615463257,0.7974820605084654
45,0.38229141321459587,0.41958603262901306,0.7929618969576046
46,0.3814984795225643,0.41606706380844116,0.7995644242916082
47,0.37782374175359784,0.40354302525520325,0.794464844157956
48,0.3823945353074399,0.40845179557800293,0.7996330846132196
49,0.3665092974957114,0.40822750329971313,0.799348123609455
50,0.3758240623575512,0.4063880443572998,0.8058704099292396
51,0.37472270357377685,0.40595337748527527,0.8033900116248391
52,0.369555007915634,0.4106248617172241,0.8049996526057215
53,0.36837748071415266,0.4075782597064972,0.7891472017172857
54,0.3656846050771793,0.40694621205329895,0.8040156017663573
55,0.3642013109870968,0.40931248664855957,0.8005138423407008
56,0.3665906832022843,0.40699392557144165,0.8068368594050086
57,0.3676988742290399,0.408486545085907,0.8029493847366188
58,0.36105846915116824,0.4100589454174042,0.7989343611484738
59,0.3613818379362499,0.40882471203804016,0.8029530137764848
60,0.3617312930165566,0.4098481237888336,0.8062335426270884
