timestamp,model,seed,val_f1_macro,test_f1_macro,train_seconds,n_params,params
2026-07-20T23:41:30,MLP,42,0.8242805423635242,0.7883334489728894,17.35,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-20T23:41:40,MLP,7,0.8286044571078371,0.8030202989710288,9.27,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-20T23:42:58,MLP,123,0.8278675793735202,0.795529258229013,78.54,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-20T23:43:35,MLP,2024,0.8094834817090617,0.7647956770675672,35.89,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-20T23:44:12,MLP,999,0.8290727392344364,0.7953356021948204,37.57,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-20T23:56:45,TabTransformer,42,0.8011114004306729,0.7424276956637098,45.59,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-20T23:57:22,TabTransformer,7,0.807196577669912,0.7578309567509436,37.31,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-20T23:58:21,TabTransformer,123,0.8051569577056163,0.7607893314415054,58.75,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-20T23:58:51,TabTransformer,2024,0.8016888578743903,0.7421283326146204,29.48,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-20T23:59:23,TabTransformer,999,0.8029799549778248,0.76691485318382,32.79,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-27T14:34:03,LogisticRegression,42,0.7401288198895376,0.7369662442301973,0.044,72,class_weight=balanced
2026-07-27T14:34:03,LogisticRegression,7,0.7401288198895376,0.7369662442301973,0.038,72,class_weight=balanced
2026-07-27T14:34:03,LogisticRegression,123,0.7401288198895376,0.7369662442301973,0.045,72,class_weight=balanced
2026-07-27T14:34:03,LogisticRegression,2024,0.7401288198895376,0.7369662442301973,0.046,72,class_weight=balanced
2026-07-27T14:34:03,LogisticRegression,999,0.7401288198895376,0.7369662442301973,0.059,72,class_weight=balanced
2026-07-27T14:35:28,XGBoost,42,0.8616135926158397,0.8473179873274086,0.971,2132365,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.031149459862852148, ""subsample"": 0.8045451640448885, ""colsample_bytree"": 0.8618800629654775, ""min_child_weight"": 10, ""reg_lambda"": 0.8050011789113894, ""reg_alpha"": 0.0008520430922053558}"
2026-07-27T14:35:29,XGBoost,7,0.8528550627608293,0.847750213496785,0.774,2172369,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.031149459862852148, ""subsample"": 0.8045451640448885, ""colsample_bytree"": 0.8618800629654775, ""min_child_weight"": 10, ""reg_lambda"": 0.8050011789113894, ""reg_alpha"": 0.0008520430922053558}"
2026-07-27T14:35:30,XGBoost,123,0.8552927712331169,0.8488703281282023,0.871,2167366,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.031149459862852148, ""subsample"": 0.8045451640448885, ""colsample_bytree"": 0.8618800629654775, ""min_child_weight"": 10, ""reg_lambda"": 0.8050011789113894, ""reg_alpha"": 0.0008520430922053558}"
2026-07-27T14:35:31,XGBoost,2024,0.8586040483152712,0.8466608572106802,0.781,2154691,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.031149459862852148, ""subsample"": 0.8045451640448885, ""colsample_bytree"": 0.8618800629654775, ""min_child_weight"": 10, ""reg_lambda"": 0.8050011789113894, ""reg_alpha"": 0.0008520430922053558}"
2026-07-27T14:35:32,XGBoost,999,0.8504945495655516,0.8460136580249155,0.764,2154333,"{""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.031149459862852148, ""subsample"": 0.8045451640448885, ""colsample_bytree"": 0.8618800629654775, ""min_child_weight"": 10, ""reg_lambda"": 0.8050011789113894, ""reg_alpha"": 0.0008520430922053558}"
2026-07-27T14:38:46,MLP,42,0.8242805423635242,0.7883334489728894,8.44,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-27T14:38:56,MLP,7,0.8286044571078371,0.8030202989710288,9.8,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-27T14:39:08,MLP,123,0.8278675793735202,0.795529258229013,12.36,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-27T14:39:13,MLP,2024,0.8094834817090617,0.7647956770675672,5.25,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-27T14:39:23,MLP,999,0.8290727392344364,0.7953356021948204,9.72,40195,"{""hidden"": ""256-128"", ""dropout"": 0.10013890690078348, ""lr"": 0.004908255982704331, ""weight_decay"": 0.007991877212864039, ""batch_size"": 512}"
2026-07-27T15:12:21,TabTransformer,42,0.8011114004306729,0.7424276956637098,346.52,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-27T15:18:55,TabTransformer,7,0.807196577669912,0.7578309567509436,393.99,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-27T15:25:26,TabTransformer,123,0.8051569577056163,0.7607893314415054,390.01,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-27T15:26:39,TabTransformer,2024,0.8016888578743903,0.7421283326146204,73.79,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
2026-07-27T15:27:15,TabTransformer,999,0.8029799549778248,0.76691485318382,35.94,65431,"{""embed_dim"": 32, ""n_heads"": 8, ""n_blocks"": 3, ""attn_dropout"": 0.1656078720226557, ""mlp_dropout"": 0.11864769487974858, ""lr"": 0.004982585117992922, ""weight_decay"": 3.574998370645212e-05, ""batch_size"": 256}"
